Id,Titol,Any,Duracio (min),Pais,Direcció,Guió,Música,Fotografia,Productora,Repartiment,Gènere,Nota,Num. vots,Web
551035.0,"Ahmed, el príncipe de la Alhambra",1998.0,68.0,España,['Juan Bautista Berasategi'],['Pío Artola (Novela: Washington Irving)'],['José Antonio Quintano'],"['Animation', 'Eduardo Elósegi']",['Canal Sur Televisión / ETB / Euskal Média S.A / Lotura Films / Ministerio de Cultura'],['Animation'],"[['Animación'], ['Infantil']]","4,5",99.0,https://www.filmaffinity.com/es/film551035.html
576238.0,El árbol del penitente,1998.0,90.0,España,['José María Borrell'],['José María Borrell'],['Roque Baños'],['Joan Benet'],['Kanzaman'],"['Javier Manrique', 'Elena Anaya', 'Alfredo Landa', 'Idelfonso Tamayo', 'Alber Ponte', 'Bruto Pomeroy']",[['Comedia']],"4,0",99.0,https://www.filmaffinity.com/es/film576238.html
704911.0,Blanca Madison,1998.0,85.0,España,['Carlos Amil'],"['Carlos Amil', 'Xoán Cejudo', 'Joaquim Jordà (Novela: Boris Vian)']",['Nani García'],['Ángel Luis Fernández'],['Vici Produccións'],"['Javier Albalá', 'Tatiana Amil', 'Manuel Botana', 'María Bouzas', 'Mercedes Castro', 'Susana Dans', 'Sabina Díaz Antón', 'Mario Gas', 'Paco Lodeiro', 'Luisa Martínez', 'Rebeca Montero', 'Josito Porto', 'Pilar Punzano', 'Carolina Ramos', 'Nuria Sanz', 'Rosa María Sardá', 'Patricia Vázquez', 'Tuto Vázquez']","[['Drama'], ['Thriller'], ['Cine negro']]","4,6",91.0,https://www.filmaffinity.com/es/film704911.html
538122.0,Fernández y familia (TV Series),1998.0,25.0,España,"['Antonio A. Farré', 'Ignacio Mercero', 'Antonio Hernández']","['Miguel Del Arco', 'Juan Martínez Moreno', 'Luis Arranz', 'Alfredo Cernuda', 'Avelino Hernández', 'Carlos Molinero', 'Rocío Sobrino']",['NA'],['NA'],['Zeppelin TV / Emitida por Telecinco'],"['José Luis Gil', 'Amparo Bravo', 'Guillermo Romero', 'Vicente Renovell', 'Rafael Castejón', 'Miguel Ángel Valcárcel', 'Elisenda Ribas', 'Lourdes Bartolomé', 'María Serres', 'Eva Pedraza']","[['Serie de TV'], ['Comedia']]","3,4",89.0,https://www.filmaffinity.com/es/film538122.html
884414.0,La vida en el aire (TV Series),1998.0,50.0,España,['Ignacio Mercero'],"['Moisés Gómez Ramos', 'Fernando Cámara', 'Ignacio Mercero', 'José Javier Rodríguez Melcón']",['Jesús Yanes'],['José García Galisteo'],['Emitida por TVE; Lotus Films'],"['Fiorella Faltoyano', 'Arturo Querejeta', 'Eva Serrano', 'Tristán Ulloa', 'Mario Barroso', 'Mariví Bilbao', 'Ana Isabel Camina', 'Iván Morales', 'Eloy Azorín', 'Jesús Pardo', 'Juan Díaz', 'Marta Vergara', 'José Luis Lorenzo', 'Itziar Álvarez', 'Lourdes Bartolomé', 'Ana Risueño', 'Vicente Díez', 'Pepe Viyuela', 'Ayanta Barilli', 'Joan Llaneras', 'Kiti Manver']","[['Serie de TV'], ['Comedia'], ['Drama']]","7,0",87.0,https://www.filmaffinity.com/es/film884414.html
882148.0,Tender Flesh (Carne fresca),1998.0,93.0,España,['Jesús Franco'],['Jesús Franco'],['Jesús Franco'],['Benjamin L. Gordon'],['Coproducción España-Estados Unidos; One Shot Productions'],"['Lina Romay', 'Monique Parent', 'Aldo Sambrell', 'Alain Petit', 'Analía Ivars', 'Mikail Kronen', 'Amber Newman']","[['Terror'], ['Comedia']]","3,1",83.0,https://www.filmaffinity.com/es/film882148.html
682110.0,Lights... Camera... Action! (Super Models) (SUPERMODELS) (TV Series),1998.0,30.0,España,['Claudio Biern Boyd (Creator)'],['Claudio Biern Boyd'],['NA'],['Animation'],['BRB Internacional / Antena 3 Televisión'],['Animation'],"[['Serie de TV'], ['Animación'], ['Intriga'], ['Infantil']]","1,9",81.0,https://www.filmaffinity.com/es/film682110.html
277632.0,Subjúdice,1998.0,98.0,España,['Josep Maria Forn'],"['Dolores Payás', 'Josep Maria Forn']",['Santi Arisa'],['Tomás Pladevall'],['Sogedasa'],"['Silvia Munt', 'Abel Folk', 'Icíar Bollaín', 'Assumpta Serna', 'Jordi Dauder', 'Josep Maria Pou', 'Pepa López', 'Francesc Orella']",[['Intriga']],"4,1",80.0,https://www.filmaffinity.com/es/film277632.html
484917.0,Huellas de un espíritu (TV),1998.0,45.0,España,['Carlos Rodríguez'],['Carlos F. Heredero'],['NA'],['Pablo Rosso'],['Canal+ España'],"['Documentary', 'Víctor Erice', 'Elías Querejeta', 'Ana Torrent']",[['Documental']],"6,8",68.0,https://www.filmaffinity.com/es/film484917.html
895687.0,Una extraña mirada (S),1998.0,14.0,España,['José Manuel Quiroga'],['José Manuel Quiroga'],['Chencho Campos'],['Paco Belda'],['Pqr Films'],"['Luis Tosar', 'María Bouzas', 'Dorotea Bárcena', 'Luis Castro', 'Xoán Cejudo', 'Gonzalo Cortizo', 'Vicente de Souza', 'Nuria Sanz', ""Roberto Sánchez 'Luna'""]",[['Thriller']],"5,4",67.0,https://www.filmaffinity.com/es/film895687.html
396670.0,Quítate tú pa' ponerme yo (TV Series),1998.0,56.0,España,"['Félix Sabroso', 'Dunia Ayaso']","['Constantino Martínez Aniceto', 'Juan Flahn', 'Alberto Papa-Fragomen', 'Valentín Fernández-Tubau', 'Ángel García Roldán', 'Fernando Gamero', 'Frank Palacios']",['Manuel Villalta'],['Ana Pino Sandoval'],['Emitida por Telecinco; Cristal P.C'],"['Carlos Sobera', 'Victoria Oliver', 'Carlos de Gabriel', 'Roberto Correcher', 'José Manuel Moya', 'Laura Manzanedo', 'Sonia Almarcha', 'Nacho Graña', 'Ana María Ventura']","[['Serie de TV'], ['Comedia']]","3,2",55.0,https://www.filmaffinity.com/es/film396670.html
448027.0,Cuando el mundo se acabe te seguiré amando,1998.0,85.0,España,['Pilar Sueiro'],['Pilar Sueiro'],['Juan Sueiro'],['Gerardo Moschioni'],['Atlántico Films'],"['Cristina Piaget', 'Beatriz Rico', 'Lucas Fuica', 'Guillermo Montesinos', 'Luis García-Berlanga', 'Antonio del Real', 'Julio Diamante']","[['Drama'], ['Romance']]","2,9",53.0,https://www.filmaffinity.com/es/film448027.html
446864.0,Un día perfecto (S),1998.0,17.0,España,['Jacobo Rispa'],"['Ángel E. Pariente', 'Juanjo Ibáñez']",['Javier Cámara'],['David Carretero'],['Imagen Line'],"['Ramón Langa', 'Nathalie Seseña', 'Israel Gutiérrez']","[['Ciencia ficción'], ['Drama']]","4,8",45.0,https://www.filmaffinity.com/es/film446864.html
386622.0,Yul (S),1998.0,20.0,España,['Rodrigo Cortés'],['Rodrigo Cortés'],"['Onion', 'La Patrulla']",['NA'],['Producciones El victimario'],"['Óscar Rodríguez', 'Luis Sánchez', 'Maribel Iglesias', 'Ángel González Quesada', 'Álvaro Iglesias']",[['Comedia']],"5,6",40.0,https://www.filmaffinity.com/es/film386622.html
775166.0,Señores de Gardenia (S),1998.0,25.0,España,['Antoni Aloy'],"['Antoni Aloy', 'Lourdes Iglesias']",['Javier Navarrete'],['David Carretero'],['Marcha Films'],"['Marisa Paredes', 'Simón Andreu', 'Emilio Gavira', 'Nuria González', 'María Isasi', 'Carlos Lucas', 'Enrique Martínez', 'Jorge Merino', 'Sara Mora', 'Mónica Cano', 'Jesús Ruyman', 'Ana Wagener']","[['Drama'], ['Terror']]","4,1",39.0,https://www.filmaffinity.com/es/film775166.html
973986.0,El sudor de los ruiseñores,1998.0,110.0,España,['Juan Manuel Cotelo'],['Juan Manuel Cotelo'],['Ínigo Pírfano'],['Enrique Urdánoz'],['I.T.P'],"['Maria de Medeiros', 'Alexandru Agarici', 'Carlos Ysbert', 'Berta Casals', 'Virgilio Cotelo', 'Rafael Llano', 'Jaime Martin Gomez', 'Jaime Martín', 'Ioana Ana Macaria', 'Manolo Monje', 'Fiorina Atanasescu', 'Lorena Berroya', 'Javier Garin', 'Daniel Gil']",[['Drama']],"6,2",37.0,https://www.filmaffinity.com/es/film973986.html
485535.0,Generador adolescente (S),1998.0,10.0,España,['Pedro Temboury'],['Pedro Temboury'],['NA'],['NA'],['Producciones Malura'],"['Curro Cruz', 'Mamen Lobo', 'Mavi Tienda', 'Alberto González', 'Juanillo Basura', 'Manolo Carambolas', 'Fernando García Rimada']","[['Comedia'], ['Ciencia ficción']]","4,2",36.0,https://www.filmaffinity.com/es/film485535.html
200395.0,"Patesnak, un cuento de Navidad (S)",1998.0,13.0,España,['Iñaki Elizalde'],"['Iñaki Elizalde', 'Cristina Rekalde']",['Mikel Salas'],['Jens Hilgendag (B&W)'],['Triper & Zapin'],"['Txema Blasco', 'Patxi Bisquert', 'Itziar Suárez', 'Begoña Ortiz de Zárate']","[['Drama'], ['Bélico']]","5,3",33.0,https://www.filmaffinity.com/es/film200395.html
